id_orden,id_producto,cantidad_comprada,precio_producto,total_orden
10164,4,1,88.08,88.08
10165,4,3,41.93,125.79
10166,9,3,99.79,299.37
10167,2,2,138.48,276.96
10168,13,1,30.07,30.07
10169,4,2,182.28,364.56
10170,8,3,104.94,314.82
10171,3,4,128.56,514.24
10172,6,1,69.14,69.14
10173,11,5,47.57,237.85
10174,5,1,74.34,74.34
10175,18,1,59.41,59.41
10176,11,2,156.27,312.54
10177,13,1,126.73,126.73
10178,1,3,143.17,429.51
10179,6,2,25.16,50.32
10180,6,2,117.54,235.08
10181,15,1,110.24,110.24
10182,12,2,66.41,132.82
10183,14,5,159.32,796.6
10184,4,1,67.46,67.46
10185,13,2,27.46,54.92
10186,7,1,194.58,194.58
10187,5,3,26.76,80.28
10188,5,5,83.74,418.7
10189,2,1,66.27,66.27
10190,13,5,89.83,449.15
10191,18,3,141.99,425.97
10192,16,1,19.98,19.98
10193,17,4,76.53,306.12
10194,3,5,156.14,780.7
10195,3,4,60.08,240.32
10196,7,4,94.01,376.04
10197,17,3,156.13,468.39
10198,14,1,62.65,62.65
10199,7,4,109.3,437.2
10200,1,1,63.1,63.1
10201,13,4,48.96,195.84
10202,9,3,120.94,362.82
10203,10,2,54.11,108.22
10204,3,5,48.08,240.4
10205,7,3,57.35,172.05
10206,8,1,58.69,58.69
10207,3,5,39.74,198.7
10208,5,1,68.48,68.48
10209,13,5,53.14,265.7
10210,5,1,135.47,135.47
10211,15,5,190.85,954.25
10212,17,3,123.59,370.77
10213,12,4,50.57,202.28
10214,13,2,155.75,311.5
10215,11,4,186.05,744.2
10216,3,3,48.99,146.97
10217,8,1,74.98,74.98
10218,17,1,171.91,171.91
10219,2,5,54.96,274.8
10220,12,2,65.81,131.62
10221,3,5,178.57,892.85
10222,7,1,15.59,15.59
10223,11,2,67.99,135.98
10224,15,2,127.15,254.3
10225,13,1,117.96,117.96
10226,15,4,49.32,197.28
10227,8,2,164.89,329.78
10228,7,5,38.06,190.3
10229,12,5,179.71,898.55
10230,10,1,78.47,78.47
10231,10,2,100.61,201.22
10232,6,1,53.84,53.84
10233,4,5,134.67,673.35
10234,2,1,146.88,146.88
10235,5,2,93.36,186.72
10236,18,3,80.19,240.57
10237,6,2,194.81,389.62
10238,17,5,103.83,519.15
10239,11,2,21.59,43.18
10240,3,2,194.15,388.3
10241,3,5,178.01,890.05
10242,3,1,121.89,121.89
10243,15,3,105.8,317.4
10244,9,5,45.49,227.45
10245,13,2,25.42,50.84
10246,11,4,140.78,563.12
10247,1,2,170.12,340.24
10248,15,2,161.36,322.72
10249,6,1,139.26,139.26
10250,10,4,17.79,71.16
10251,18,4,160.55,642.2
10252,13,3,138.02,414.06
10253,12,5,45.58,227.9
10254,1,2,116.93,233.86
10255,17,5,159.95,799.75
10256,6,3,118.44,355.32
10257,9,1,28.76,28.76
10258,9,1,165.03,165.03
10259,4,2,104.09,208.18
10260,14,4,178.96,715.84
10261,4,3,186.61,559.83
10262,4,4,60.5,242.0
10263,10,3,156.91,470.73
10264,16,4,58.93,235.72
10265,4,3,89.39,268.17
10266,4,5,16.59,82.95
10267,10,2,170.81,341.62
10268,11,5,62.79,313.95
10269,3,2,101.76,203.52
10270,14,2,44.55,89.1
10271,11,1,90.64,90.64
10272,18,2,90.23,180.46
10273,7,4,19.21,76.84
10274,13,4,97.39,389.56
10275,14,4,175.36,701.44
10276,17,3,148.63,445.89
10277,17,1,119.86,119.86
10278,12,5,103.74,518.7
10279,1,2,128.42,256.84
10280,1,4,10.76,43.04
10281,11,5,35.72,178.6
10282,5,1,177.53,177.53
10283,2,2,96.59,193.18
10284,12,4,67.14,268.56
10285,11,5,20.28,101.4
10286,17,2,179.79,359.58
10287,3,5,186.45,932.25
10288,16,3,29.96,89.88
10289,13,5,166.55,832.75
10290,1,1,143.76,143.76
10291,2,2,30.76,61.52
10292,17,5,14.92,74.6
10293,14,3,14.86,44.58
10294,7,3,42.82,128.46
10295,18,2,121.23,242.46
10296,2,5,175.49,877.45
10297,7,5,126.19,630.95
10298,3,4,172.22,688.88
10299,1,1,119.61,119.61
10300,15,4,170.91,683.64
10301,3,3,28.88,86.64
10302,3,1,197.82,197.82
10303,14,3,80.68,242.04
10304,5,3,42.78,128.34
10305,12,4,83.29,333.16
10306,13,2,161.84,323.68
10307,1,4,126.75,507.0
10308,5,1,73.58,73.58
10309,14,5,48.27,241.35
10310,3,4,64.86,259.44
10311,13,4,155.72,622.88
10312,3,2,16.88,33.76
10313,10,5,149.37,746.85
10314,8,5,54.08,270.4
10315,7,1,131.58,131.58
10316,7,5,163.53,817.65
10317,12,3,107.06,321.18
10318,16,4,91.32,365.28
10319,16,5,144.78,723.9
10320,16,4,31.49,125.96
10321,8,2,11.63,23.26
10322,4,5,107.92,539.6
10323,4,1,140.88,140.88
10324,8,5,103.24,516.2
10325,4,3,79.89,239.67
10326,18,2,188.42,376.84
10327,4,4,63.9,255.6
10328,1,3,177.32,531.96
10329,17,2,27.98,55.96
10330,4,3,102.16,306.48
10331,13,2,77.88,155.76
10332,1,3,135.68,407.04
10333,12,5,82.32,411.6
10334,7,1,182.13,182.13
10335,9,4,12.89,51.56
10336,9,5,48.01,240.05
10337,2,5,150.04,750.2
10338,14,2,54.91,109.82
10339,1,2,61.86,123.72
10340,8,4,110.29,441.16
10341,6,5,96.09,480.45
10342,17,5,110.81,554.05
10343,17,3,25.47,76.41
10344,18,5,149.14,745.7
10345,3,3,175.36,526.08
10346,18,1,32.43,32.43
10347,4,4,180.37,721.48
10348,7,3,149.09,447.27
10349,11,5,132.28,661.4
10350,11,1,22.29,22.29
10351,12,5,130.73,653.65
10352,12,2,90.04,180.08
10353,16,4,99.56,398.24
10354,9,3,90.86,272.58
10355,10,2,77.23,154.46
10356,12,3,191.79,575.37
10357,12,1,76.32,76.32
10358,6,4,25.33,101.32
10359,2,1,78.36,78.36
10360,10,2,97.17,194.34
10361,9,3,46.05,138.15
10362,6,3,92.44,277.32
10363,5,3,67.57,202.71
10364,1,5,59.11,295.55
10365,2,5,74.94,374.7
10366,4,2,104.95,209.9
10367,6,5,64.81,324.05
10368,15,4,62.93,251.72
10369,9,5,175.86,879.3
10370,5,5,70.69,353.45
10371,14,2,144.29,288.58
10372,6,5,38.97,194.85
10373,2,2,188.63,377.26
10374,10,1,113.84,113.84
10375,3,4,128.66,514.64
10376,14,5,96.11,480.55
10377,4,1,70.21,70.21
10378,9,4,62.3,249.2
10379,10,2,183.42,366.84
10380,18,3,71.58,214.74
10381,2,1,188.35,188.35
10382,14,3,51.26,153.78
10383,5,5,155.39,776.95
10384,16,4,117.05,468.2
10385,9,3,109.45,328.35
10386,7,3,82.29,246.87
10387,8,4,154.91,619.64
10388,6,1,160.26,160.26
10389,2,5,40.91,204.55
10390,8,1,180.15,180.15
10391,13,1,131.55,131.55
10392,16,3,65.47,196.41
10393,8,5,102.96,514.8
10394,8,1,154.94,154.94
10395,8,4,41.19,164.76
10396,7,1,75.2,75.2
10397,9,3,171.24,513.72
10398,14,5,109.54,547.7
10399,16,1,50.43,50.43
10400,1,5,129.9,649.5
10401,16,2,84.41,168.82
10402,9,2,138.98,277.96
10403,1,1,98.41,98.41
10404,13,3,24.42,73.26
10405,12,4,139.17,556.68
10406,12,2,83.33,166.66
10407,17,3,25.8,77.4
10408,9,4,170.72,682.88
10409,15,1,59.26,59.26
10410,9,1,19.45,19.45
10411,3,3,25.55,76.65
10412,18,4,55.76,223.04
10413,10,1,72.43,72.43
10414,7,1,78.4,78.4
10415,16,4,112.27,449.08
10416,7,3,144.42,433.26
10417,15,5,71.5,357.5
10418,1,5,53.93,269.65
10419,13,2,62.18,124.36
10420,8,1,64.59,64.59
10421,12,3,76.36,229.08
10422,12,3,87.73,263.19
10423,13,1,130.12,130.12
10424,10,3,146.89,440.67
10425,8,1,189.05,189.05
10426,17,3,73.12,219.36
10427,5,1,16.57,16.57
10428,6,1,27.46,27.46
10429,17,3,188.61,565.83
10430,10,4,118.16,472.64
10431,8,3,139.61,418.83
10432,6,5,11.89,59.45
10433,8,3,172.42,517.26
10434,8,5,181.16,905.8
10435,18,2,133.19,266.38
10436,15,1,36.47,36.47
10437,10,3,119.29,357.87
10438,13,3,38.44,115.32
10439,10,4,154.46,617.84
10440,6,4,107.71,430.84
10441,9,5,133.76,668.8
10442,9,1,106.38,106.38
10443,15,5,113.46,567.3
10444,9,2,138.48,276.96
10445,17,2,119.82,239.64
10446,9,3,176.44,529.32
10447,7,3,64.08,192.24
10448,3,4,161.73,646.92
10449,5,2,92.95,185.9
10450,8,4,25.99,103.96
10451,1,2,116.69,233.38
10452,4,4,72.63,290.52
10453,6,2,37.47,74.94
10454,4,3,32.72,98.16
10455,6,1,121.95,121.95
10456,10,2,51.85,103.7
10457,17,5,129.89,649.45
10458,1,4,183.96,735.84
10459,2,1,61.57,61.57
10460,6,4,141.13,564.52
10461,1,1,11.62,11.62
10462,16,4,11.56,46.24
10463,7,4,143.8,575.2
10464,3,4,185.08,740.32
10465,5,5,187.4,937.0
10466,2,4,93.36,373.44
10467,18,5,138.21,691.05
10468,9,4,127.92,511.68
10469,10,5,183.75,918.75
10470,10,1,122.93,122.93
10471,18,4,101.41,405.64
10472,2,2,171.27,342.54
10473,3,3,18.69,56.07
10474,18,4,161.26,645.04
10475,15,2,87.79,175.58
10476,4,5,193.2,966.0
10477,8,2,44.3,88.6
10478,7,5,138.82,694.1
10479,18,3,29.64,88.92
10480,17,2,137.45,274.9
10481,7,1,167.03,167.03
10482,3,3,98.0,294.0
10483,8,4,172.7,690.8
10484,14,1,158.7,158.7
10485,15,2,98.32,196.64
10486,7,1,156.62,156.62
10487,6,1,40.21,40.21
10488,9,5,74.21,371.05
10489,14,1,136.99,136.99
10490,8,5,93.85,469.25
10491,2,3,95.07,285.21
10492,2,3,136.89,410.67
10493,3,3,63.2,189.6
10494,1,3,58.2,174.6
10495,3,5,14.33,71.65
10496,13,2,111.35,222.7
10497,16,4,85.24,340.96
10498,9,5,137.42,687.1
10499,14,1,132.73,132.73
10500,12,4,164.74,658.96
10501,8,4,101.51,406.04
10502,8,1,39.62,39.62
10503,15,4,121.19,484.76
10504,14,1,41.84,41.84
10505,18,2,68.39,136.78
10506,12,3,13.59,40.77
10507,6,3,77.01,231.03
10508,16,4,85.77,343.08
10509,4,5,79.05,395.25
10510,15,5,140.39,701.95
10511,4,1,93.42,93.42
10512,14,2,158.62,317.24
10513,13,2,76.93,153.86
10514,8,3,153.31,459.93
10515,18,3,57.56,172.68
10516,4,1,43.62,43.62
10517,14,3,173.08,519.24
10518,1,1,136.91,136.91
10519,16,2,119.97,239.94
10520,13,4,109.64,438.56
10521,2,4,170.23,680.92
10522,10,2,73.97,147.94
10523,9,2,189.79,379.58
10524,15,1,135.85,135.85
10525,16,1,155.53,155.53
10526,13,4,141.43,565.72
10527,11,3,60.15,180.45
10528,7,5,46.04,230.2
10529,3,5,97.76,488.8
10530,13,4,159.31,637.24
10531,6,5,172.73,863.65
10532,10,5,153.86,769.3
10533,2,5,85.56,427.8
10534,3,5,23.41,117.05
10535,16,5,37.93,189.65
10536,17,3,126.35,379.05
10537,15,3,188.97,566.91
10538,14,4,191.15,764.6
10539,16,2,127.93,255.86
10540,17,4,52.64,210.56
10541,11,5,150.68,753.4
10542,13,4,22.15,88.6
10543,15,2,48.03,96.06
10544,16,2,162.46,324.92
10545,1,1,180.77,180.77
10546,17,4,82.01,328.04
10547,5,2,120.16,240.32
10548,7,1,149.57,149.57
10549,15,3,71.57,214.71
10550,1,4,126.05,504.2
10551,4,1,132.55,132.55
10552,8,4,190.83,763.32
10553,1,3,158.21,474.63
10554,12,5,109.76,548.8
10555,16,2,168.6,337.2
10556,6,4,12.3,49.2
10557,2,3,169.83,509.49
10558,14,1,198.76,198.76
10559,16,5,193.24,966.2
10560,5,2,180.6,361.2
10561,14,4,117.93,471.72
10562,16,2,198.52,397.04
10563,11,3,102.12,306.36
10564,7,2,122.49,244.98
10565,1,1,116.36,116.36
10566,15,4,52.43,209.72
10567,5,4,25.24,100.96
10568,1,1,27.68,27.68
10569,13,5,116.34,581.7
10570,14,4,21.16,84.64
10571,15,3,179.27,537.81
10572,14,3,83.82,251.46
10573,10,2,183.77,367.54
10574,7,4,75.38,301.52
10575,6,2,181.36,362.72
10576,9,3,56.64,169.92
10577,18,2,67.72,135.44
10578,18,3,136.63,409.89
10579,5,2,122.31,244.62
10580,1,5,60.98,304.9
10581,7,3,174.29,522.87
10582,7,3,63.9,191.7
10583,2,3,163.96,491.88
10584,6,5,190.16,950.8
10585,13,2,58.04,116.08
10586,14,2,18.56,37.12
10587,7,2,179.28,358.56
10588,17,3,59.64,178.92
10589,3,4,106.58,426.32
10590,13,2,54.61,109.22
10591,16,1,80.23,80.23
10592,6,4,43.73,174.92
10593,8,3,182.76,548.28
10594,18,5,72.47,362.35
10595,11,2,134.86,269.72
10596,17,1,48.38,48.38
10597,7,1,157.85,157.85
10598,17,1,83.05,83.05
10599,14,5,117.5,587.5
10600,17,1,155.3,155.3
10601,2,1,133.16,133.16
10602,11,4,86.7,346.8
10603,10,3,115.04,345.12
10604,5,3,109.77,329.31
10605,4,2,186.75,373.5
10606,11,5,182.37,911.85
10607,9,3,103.23,309.69
10608,7,2,54.1,108.2
10609,1,4,90.69,362.76
10610,9,1,178.0,178.0
10611,7,3,160.25,480.75
10612,10,3,25.55,76.65
10613,13,4,12.05,48.2
10614,12,1,100.89,100.89
10615,5,1,132.08,132.08
10616,9,3,68.45,205.35
10617,18,5,191.5,957.5
10618,18,3,170.37,511.11
10619,1,1,56.78,56.78
10620,1,5,181.87,909.35
10621,4,4,107.06,428.24
10622,1,4,155.38,621.52
10623,17,2,56.57,113.14
10624,14,5,155.63,778.15
10625,17,5,169.92,849.6
10626,5,1,178.17,178.17
10627,10,2,176.72,353.44
10628,1,3,98.87,296.61
10629,6,4,23.95,95.8
10630,4,1,135.93,135.93
10631,5,5,18.61,93.05
10632,4,4,146.71,586.84
10633,18,5,59.49,297.45
10634,13,4,106.5,426.0
10635,7,4,159.56,638.24
10636,2,5,60.52,302.6
10637,1,4,26.65,106.6
10638,13,5,112.81,564.05
10639,8,4,73.13,292.52
10640,18,5,33.69,168.45
10641,3,4,52.93,211.72
10642,1,4,72.43,289.72
10643,16,1,29.92,29.92
10644,3,5,141.71,708.55
10645,2,4,155.25,621.0
10646,8,3,19.86,59.58
10647,9,5,145.8,729.0
10648,6,4,103.66,414.64
10649,10,1,175.71,175.71
10650,12,5,168.66,843.3
10651,11,3,128.4,385.2
10652,1,3,79.53,238.59
10653,11,4,170.11,680.44
10654,13,3,17.32,51.96
10655,8,1,29.24,29.24
10656,13,4,52.35,209.4
10657,3,1,188.75,188.75
10658,7,1,114.85,114.85
10659,12,1,68.87,68.87
10660,14,1,18.53,18.53
10661,17,4,129.02,516.08
10662,6,3,103.82,311.46
10663,10,5,198.44,992.2
10664,6,2,95.55,191.1
10665,1,5,37.88,189.4
10666,7,1,130.66,130.66
10667,2,1,95.55,95.55
10668,8,3,50.89,152.67
10669,10,5,164.65,823.25
10670,13,2,132.39,264.78
10671,13,5,40.18,200.9
10672,15,3,189.75,569.25
10673,18,4,29.77,119.08
10674,14,1,112.48,112.48
10675,9,1,46.27,46.27
10676,7,3,11.73,35.19
10677,16,3,25.22,75.66
10678,9,3,193.07,579.21
10679,11,4,163.5,654.0
10680,11,2,119.69,239.38
10681,15,2,14.86,29.72
10682,13,1,16.39,16.39
10683,1,2,13.57,27.14
10684,12,1,111.34,111.34
10685,12,2,105.04,210.08
10686,1,5,191.02,955.1
10687,17,2,197.6,395.2
10688,12,2,147.68,295.36
10689,17,2,38.15,76.3
10690,8,5,35.71,178.55
10691,14,1,127.46,127.46
10692,5,3,142.44,427.32
10693,11,5,47.73,238.65
10694,9,4,152.48,609.92
10695,15,1,37.68,37.68
10696,10,5,53.87,269.35
10697,8,4,74.81,299.24
10698,2,4,176.75,707.0
10699,18,4,179.06,716.24
10700,18,4,23.81,95.24
10701,7,2,18.53,37.06
10702,5,1,76.65,76.65
10703,13,1,84.73,84.73
10704,15,3,119.59,358.77
10705,3,1,72.33,72.33
10706,7,1,136.62,136.62
10707,9,5,86.4,432.0
10708,10,3,117.62,352.86
10709,11,2,195.12,390.24
10710,3,3,28.12,84.36
10711,1,5,15.97,79.85
10712,12,3,42.63,127.89
10713,9,4,185.34,741.36
10714,15,1,32.68,32.68
10715,13,5,102.02,510.1
10716,11,2,29.27,58.54
10717,11,3,175.76,527.28
10718,12,1,134.96,134.96
10719,10,2,135.5,271.0
10720,14,3,144.65,433.95
10721,4,2,49.07,98.14
10722,6,4,104.87,419.48
10723,15,1,198.27,198.27
10724,3,1,116.65,116.65
10725,5,3,57.85,173.55
10726,1,2,180.2,360.4
10727,8,2,168.94,337.88
10728,2,1,12.16,12.16
10729,15,2,109.88,219.76
10730,18,4,129.0,516.0
10731,9,3,96.22,288.66
10732,11,5,27.13,135.65
10733,12,2,158.82,317.64
10734,17,2,62.57,125.14
10735,17,5,197.1,985.5
10736,3,1,114.52,114.52
10737,16,3,117.35,352.05
10738,7,5,143.06,715.3
10739,5,5,161.26,806.3
10740,17,3,170.39,511.17
10741,4,5,194.43,972.15
10742,16,2,66.62,133.24
10743,13,1,115.56,115.56
10744,8,4,47.91,191.64
10745,8,3,127.11,381.33
10746,7,5,113.88,569.4
10747,13,5,78.9,394.5
10748,5,5,75.02,375.1
10749,12,4,116.16,464.64
10750,14,2,75.05,150.1
10751,13,4,23.89,95.56
10752,6,1,112.84,112.84
10753,11,3,54.62,163.86
10754,15,4,122.09,488.36
10755,9,2,32.59,65.18
10756,2,3,114.96,344.88
10757,16,2,160.91,321.82
10758,13,3,125.52,376.56
10759,10,4,167.61,670.44
10760,5,1,165.97,165.97
10761,8,1,183.66,183.66
10762,8,3,134.2,402.6
10763,5,1,166.95,166.95
10764,3,3,196.52,589.56
10765,12,4,157.32,629.28
10766,10,3,15.13,45.39
10767,4,2,165.99,331.98
10768,6,2,171.57,343.14
10769,14,1,88.86,88.86
10770,18,2,78.37,156.74
10771,15,1,116.76,116.76
10772,12,1,94.67,94.67
10773,17,2,145.71,291.42
10774,18,5,14.18,70.9
10775,4,4,112.32,449.28
10776,16,4,167.48,669.92
10777,16,3,84.7,254.1
10778,15,2,15.5,31.0
10779,1,1,145.62,145.62
10780,10,1,29.07,29.07
10781,1,5,160.07,800.35
10782,11,1,187.59,187.59
10783,17,4,98.95,395.8
10784,5,3,16.12,48.36
10785,11,4,111.66,446.64
10786,13,2,185.15,370.3
10787,8,4,142.44,569.76
10788,14,2,103.31,206.62
10789,18,4,139.15,556.6
10790,13,2,123.43,246.86
10791,11,3,159.56,478.68
10792,6,4,146.4,585.6
10793,8,5,14.69,73.45
10794,4,4,113.5,454.0
10795,3,4,121.68,486.72
10796,14,3,172.75,518.25
10797,14,4,104.76,419.04
10798,9,1,166.27,166.27
10799,7,2,96.67,193.34
10800,17,2,96.03,192.06
10801,9,1,82.6,82.6
10802,13,4,94.83,379.32
10803,9,4,81.73,326.92
10804,6,1,82.45,82.45
10805,2,4,149.39,597.56
10806,14,4,175.81,703.24
10807,17,5,162.14,810.7
10808,5,1,110.83,110.83
10809,16,3,66.2,198.6
10810,14,4,155.21,620.84
10811,18,4,76.31,305.24
10812,17,1,45.03,45.03
10813,17,1,130.97,130.97
10814,8,5,28.91,144.55
10815,7,5,112.21,561.05
10816,8,2,47.85,95.7
10817,1,3,183.4,550.2
10818,1,3,60.05,180.15
10819,11,1,184.67,184.67
10820,15,3,193.83,581.49
10821,8,4,25.52,102.08
10822,5,1,132.87,132.87
10823,5,2,129.17,258.34
10824,15,5,90.75,453.75
10825,16,2,151.76,303.52
10826,8,5,182.25,911.25
10827,3,5,79.42,397.1
10828,2,5,19.39,96.95
10829,6,4,152.84,611.36
10830,1,2,99.9,199.8
10831,16,2,55.9,111.8
10832,11,2,173.84,347.68
10833,17,4,158.37,633.48
10834,17,2,61.81,123.62
10835,17,4,48.51,194.04
10836,3,5,69.82,349.1
10837,15,4,88.5,354.0
10838,2,3,89.27,267.81
10839,18,5,174.88,874.4
10840,6,4,47.02,188.08
10841,14,3,119.63,358.89
10842,13,5,153.12,765.6
10843,7,1,155.57,155.57
10844,6,2,173.7,347.4
10845,8,1,101.14,101.14
10846,9,4,70.94,283.76
10847,5,1,41.57,41.57
10848,18,5,30.69,153.45
10849,17,1,163.66,163.66
10850,3,3,194.9,584.7
10851,10,1,87.78,87.78
10852,6,4,113.62,454.48
10853,6,2,156.31,312.62
10854,12,5,179.1,895.5
10855,17,4,64.0,256.0
10856,12,4,148.73,594.92
10857,12,1,140.0,140.0
10858,2,2,156.76,313.52
10859,12,3,173.35,520.05
10860,9,2,52.29,104.58
10861,16,3,91.09,273.27
10862,8,5,39.48,197.4
10863,17,2,188.39,376.78
10864,16,3,99.4,298.2
10865,7,1,59.16,59.16
10866,3,4,138.09,552.36
10867,3,5,88.37,441.85
10868,11,2,146.86,293.72
10869,17,3,135.55,406.65
10870,3,3,112.68,338.04
10871,1,5,185.03,925.15
10872,10,3,66.23,198.69
10873,15,5,139.1,695.5
10874,15,5,52.81,264.05
10875,5,3,89.07,267.21
10876,16,2,100.17,200.34
10877,13,5,175.83,879.15
10878,5,5,166.85,834.25
10879,1,1,149.86,149.86
10880,3,1,182.76,182.76
10881,14,3,154.1,462.3
10882,11,1,176.88,176.88
10883,6,4,17.03,68.12
10884,2,2,57.83,115.66
10885,11,1,14.23,14.23
10886,9,5,176.26,881.3
10887,18,2,191.98,383.96
10888,17,4,86.28,345.12
10889,16,2,156.67,313.34
10890,7,4,186.81,747.24
10891,6,2,125.55,251.1
10892,7,4,54.44,217.76
10893,18,4,21.44,85.76
10894,12,1,186.95,186.95
10895,17,1,23.89,23.89
10896,11,2,163.71,327.42
10897,15,2,109.78,219.56
10898,17,4,173.31,693.24
10899,16,2,105.02,210.04
10900,4,3,93.53,280.59
10901,15,2,50.03,100.06
10902,14,5,124.49,622.45
10903,1,3,179.14,537.42
10904,18,4,137.05,548.2
10905,16,3,148.23,444.69
10906,2,5,143.23,716.15
10907,17,4,111.05,444.2
10908,1,5,159.34,796.7
10909,7,1,79.96,79.96
10910,9,2,111.37,222.74
10911,10,4,104.59,418.36
10912,2,2,75.04,150.08
10913,13,2,98.61,197.22
10914,6,4,118.69,474.76
10915,12,4,74.63,298.52
10916,9,4,99.89,399.56
10917,4,2,30.71,61.42
10918,15,1,168.7,168.7
10919,16,2,72.53,145.06
10920,18,1,188.21,188.21
10921,11,1,79.69,79.69
10922,11,2,155.48,310.96
10923,14,3,26.04,78.12
10924,15,4,187.04,748.16
10925,10,3,15.08,45.24
10926,8,5,107.93,539.65
10927,12,4,134.39,537.56
10928,8,5,196.38,981.9
10929,3,4,138.06,552.24
