id_orden,fecha_compra,id_cliente,id_region_envio,id_metodo_pago
10062,2025-05-14,2232,5,3
10063,2025-06-08,2567,1,4
10064,2025-07-01,1615,5,2
10065,2025-06-21,1274,5,3
10066,2025-07-01,2315,5,4
10067,2025-05-17,2940,5,4
10068,2025-01-14,2210,3,4
10069,2025-03-13,1899,1,3
10070,2025-08-23,2356,3,3
10071,2025-03-05,2076,1,1
10072,2025-01-10,1000,1,2
10073,2025-01-13,1552,1,3
10074,2025-05-12,2199,4,2
10075,2025-02-27,1218,5,5
10076,2025-02-16,2722,3,2
10077,2025-01-13,1168,1,2
10078,2025-07-10,2295,2,1
10079,2025-04-08,2738,2,3
10080,2025-03-25,2501,5,3
10081,2025-04-16,1371,5,5
10082,2025-03-14,2830,5,5
10083,2025-06-23,1081,2,4
10084,2025-01-23,1307,3,4
10085,2025-05-05,2409,5,3
10086,2025-02-02,2143,3,3
10087,2025-03-18,2063,1,3
10088,2025-04-10,1716,5,4
10089,2025-05-25,2408,1,3
10090,2025-02-08,2136,5,4
10091,2025-06-17,1039,2,5
10092,2025-04-06,2638,1,1
10093,2025-07-21,2917,3,1
10094,2025-07-01,2272,2,2
10095,2025-03-20,2120,3,5
10096,2025-07-15,2148,4,3
10097,2025-05-13,2548,1,2
10098,2025-01-02,2657,2,3
10099,2025-01-22,2892,5,2
10100,2025-03-02,2483,1,3
10101,2025-05-11,1694,2,3
10102,2025-05-27,2741,3,3
10103,2025-03-05,1794,4,3
10104,2025-08-28,2821,4,4
10105,2025-05-20,2090,2,2
10106,2025-03-11,1538,4,3
10107,2025-04-23,2288,5,5
10108,2025-04-17,1176,2,3
10109,2025-07-26,1058,2,5
10110,2025-01-13,1410,1,3
10111,2025-08-24,1350,1,4
10112,2025-01-18,1541,4,2
10113,2025-05-26,2640,1,3
10114,2025-04-05,2338,3,1
10115,2025-08-10,1611,2,3
10116,2025-05-01,2451,3,2
10117,2025-03-24,1673,2,1
10118,2025-03-12,1653,5,3
10119,2025-04-20,2916,4,2
10120,2025-06-12,1751,4,3
10121,2025-01-01,2729,1,1
10122,2025-07-09,1930,1,3
10123,2025-04-02,2971,4,5
10124,2025-08-03,1619,5,4
10125,2025-03-11,1700,2,5
10126,2025-08-18,1055,3,3
10127,2025-07-08,2485,4,5
10128,2025-01-18,2903,4,2
10129,2025-01-07,2951,1,4
10130,2025-08-15,2476,1,3
10131,2025-08-27,1452,4,1
10132,2025-05-16,1550,1,2
10133,2025-06-12,1976,4,2
10134,2025-08-21,1051,2,4
10135,2025-04-06,2933,2,2
10136,2025-03-22,2909,4,1
10137,2025-04-02,1861,2,2
10138,2025-04-10,1338,4,2
10139,2025-07-04,1380,5,2
10140,2025-02-17,2776,2,5
10141,2025-07-20,2591,2,3
10142,2025-02-02,2499,1,2
10143,2025-05-09,1968,1,3
10144,2025-01-19,1334,4,4
10145,2025-03-02,2549,2,3
10146,2025-05-07,1411,3,2
10147,2025-06-20,1176,5,3
10148,2025-08-03,1230,1,5
10149,2025-06-05,1058,3,2
10150,2025-06-20,1690,1,3
10151,2025-02-01,2012,3,3
10152,2025-04-24,1621,2,4
10153,2025-01-23,2378,5,3
10154,2025-07-14,1837,5,3
10155,2025-08-25,1361,2,3
10156,2025-04-15,1408,3,4
10157,2025-02-01,2844,2,3
10158,2025-07-26,2819,5,4
10159,2025-05-01,1109,2,3
10160,2025-07-10,1658,1,3
10161,2025-05-27,1227,4,1
10162,2025-03-02,2782,5,5
10163,2025-04-26,2917,5,3
10164,2025-06-04,2854,1,3
10165,2025-01-02,2918,5,1
10166,2025-03-23,1542,4,3
10167,2025-07-08,2614,2,5
10168,2025-08-21,1897,4,1
10169,2025-01-03,1983,1,2
10170,2025-05-27,2703,4,4
10171,2025-07-24,2559,4,1
10172,2025-04-24,1271,1,3
10173,2025-07-14,2057,2,3
10174,2025-04-20,1355,4,5
10175,2025-05-21,2765,4,5
10176,2025-03-17,1485,2,2
10177,2025-01-16,1929,5,4
10178,2025-04-19,2959,2,1
10179,2025-08-08,2738,1,3
10180,2025-07-03,2199,3,5
10181,2025-04-02,1609,1,3
10182,2025-06-26,1100,3,3
10183,2025-01-15,2487,5,3
10184,2025-03-08,1304,3,3
10185,2025-07-09,2275,5,3
10186,2025-02-01,1436,3,5
10187,2025-08-02,1719,1,5
10188,2025-04-12,2904,4,3
10189,2025-02-28,1826,4,3
10190,2025-01-14,1945,3,5
10191,2025-07-24,2769,4,4
10192,2025-07-20,1597,5,5
10193,2025-02-28,2678,4,3
10194,2025-06-25,1709,3,1
10195,2025-01-24,2027,4,2
10196,2025-04-14,2914,3,3
10197,2025-06-16,1022,4,2
10198,2025-05-03,1254,4,4
10199,2025-06-23,2679,1,3
10200,2025-02-14,1417,1,3
10201,2025-01-12,2008,4,5
10202,2025-05-16,1678,1,1
10203,2025-04-15,2191,3,2
10204,2025-07-13,2630,3,2
10205,2025-02-28,1772,1,3
10206,2025-07-10,1342,4,2
10207,2025-05-06,1434,4,4
10208,2025-06-23,1978,1,3
10209,2025-02-26,2896,5,5
10210,2025-08-09,2646,2,3
10211,2025-03-24,1245,5,2
10212,2025-06-24,2382,3,4
10213,2025-02-21,2481,2,2
10214,2025-05-03,1776,5,5
10215,2025-08-27,2728,1,5
10216,2025-03-14,1499,2,4
10217,2025-04-08,2949,1,4
10218,2025-06-18,2455,2,4
10219,2025-04-12,1993,2,5
10220,2025-03-08,1111,2,5
10221,2025-05-22,2901,5,5
10222,2025-01-17,2627,2,4
10223,2025-04-18,1144,4,5
10224,2025-01-24,2718,5,3
10225,2025-04-24,2930,2,2
10226,2025-07-21,1309,3,2
10227,2025-04-10,2426,5,1
10228,2025-07-08,2883,5,2
10229,2025-05-13,2118,2,1
10230,2025-06-18,2087,1,1
10231,2025-02-20,1009,5,4
10232,2025-05-11,1802,5,3
10233,2025-05-18,1644,5,3
10234,2025-01-17,2703,4,3
10235,2025-02-17,1670,5,3
10236,2025-05-12,1793,2,1
10237,2025-03-07,1005,4,3
10238,2025-03-04,2901,3,4
10239,2025-02-07,1235,1,2
10240,2025-08-19,2380,3,2
10241,2025-05-12,2652,5,3
10242,2025-08-03,1303,3,2
10243,2025-08-20,2159,3,1
10244,2025-02-03,1582,2,3
10245,2025-07-28,2401,1,3
10246,2025-02-22,2850,2,3
10247,2025-01-21,2286,3,2
10248,2025-06-01,2645,1,3
10249,2025-04-10,2267,2,5
10250,2025-03-23,1647,1,3
10251,2025-02-02,1331,1,3
10252,2025-06-16,2122,4,3
10253,2025-02-21,1034,2,2
10254,2025-06-11,1565,5,1
10255,2025-02-14,1468,3,5
10256,2025-08-14,2030,1,2
10257,2025-07-04,1806,4,3
10258,2025-06-25,2418,1,3
10259,2025-03-28,1121,1,3
10260,2025-06-15,2883,3,4
10261,2025-01-07,2158,2,2
10262,2025-02-06,1571,5,1
10263,2025-08-07,1188,2,1
10264,2025-04-21,2625,2,2
10265,2025-07-13,2803,3,5
10266,2025-06-19,2859,4,2
10267,2025-01-10,2963,3,5
10268,2025-01-18,2396,4,2
10269,2025-06-13,2947,1,2
10270,2025-06-28,2294,5,3
10271,2025-05-16,2961,4,4
10272,2025-02-22,1867,5,3
10273,2025-06-10,1692,2,3
10274,2025-03-02,2032,4,3
10275,2025-02-13,2922,2,3
10276,2025-03-02,2792,4,4
10277,2025-08-20,2336,3,5
10278,2025-03-18,1305,1,3
10279,2025-08-24,1400,1,3
10280,2025-08-06,1596,2,5
10281,2025-05-04,1424,2,3
10282,2025-06-05,1539,5,1
10283,2025-07-01,2087,2,1
10284,2025-06-18,1667,1,1
10285,2025-02-10,1789,4,2
10286,2025-04-04,2078,1,2
10287,2025-07-16,2964,2,5
10288,2025-03-06,1128,4,3
10289,2025-06-14,2017,1,1
10290,2025-07-11,2749,5,3
10291,2025-06-22,1504,5,2
10292,2025-02-10,1744,4,3
10293,2025-07-08,1903,4,5
10294,2025-01-03,1446,2,2
10295,2025-01-16,2681,4,5
10296,2025-04-09,2266,1,5
10297,2025-01-05,1873,5,4
10298,2025-03-03,2661,2,4
10299,2025-06-03,1156,4,3
10300,2025-08-21,1591,4,4
10301,2025-04-03,2392,5,5
10302,2025-05-25,1159,4,3
10303,2025-02-16,2380,5,1
10304,2025-08-21,2199,3,3
10305,2025-01-12,1370,5,3
10306,2025-01-12,1471,5,1
10307,2025-03-11,1966,5,2
10308,2025-02-28,2163,1,2
10309,2025-04-05,1092,3,2
10310,2025-04-23,2024,5,3
10311,2025-04-27,2489,4,4
10312,2025-08-14,2128,1,1
10313,2025-07-19,2781,1,3
10314,2025-05-22,1806,5,3
10315,2025-08-14,2657,3,2
10316,2025-06-10,1478,4,3
10317,2025-02-08,1723,3,5
10318,2025-07-18,2840,3,5
10319,2025-08-15,2964,5,2
10320,2025-02-21,1325,3,2
10321,2025-04-12,2680,3,3
10322,2025-02-16,1697,5,2
10323,2025-08-02,2707,4,5
10324,2025-02-14,2013,2,3
10325,2025-08-18,1601,5,5
10326,2025-05-03,1859,2,3
10327,2025-08-03,2000,5,1
10328,2025-04-14,1864,2,5
10329,2025-05-23,2398,3,5
10330,2025-02-07,1355,3,2
10331,2025-02-15,1252,2,4
10332,2025-04-16,2772,3,3
10333,2025-04-08,1581,4,5
10334,2025-06-28,1438,2,2
10335,2025-04-11,1962,5,4
10336,2025-07-22,2454,4,1
10337,2025-06-22,1390,4,4
10338,2025-06-20,2004,4,2
10339,2025-07-07,2962,3,5
10340,2025-04-16,1357,2,3
10341,2025-07-19,2533,2,4
10342,2025-07-08,2328,2,2
10343,2025-02-22,1071,4,4
10344,2025-06-22,2341,4,1
10345,2025-03-28,2628,1,2
10346,2025-02-15,1313,1,3
10347,2025-02-09,2819,3,3
10348,2025-01-11,1376,3,1
10349,2025-05-24,2758,1,2
10350,2025-06-18,1181,4,4
10351,2025-02-20,2355,5,3
10352,2025-01-25,2992,1,1
10353,2025-04-22,2270,2,2
10354,2025-07-08,2391,4,3
10355,2025-04-19,1516,3,2
10356,2025-02-16,1431,2,3
10357,2025-06-09,1198,1,4
10358,2025-03-15,2161,4,1
10359,2025-02-27,1140,4,3
10360,2025-05-05,1556,4,3
10361,2025-06-07,2206,3,3
10362,2025-06-16,2242,1,2
10363,2025-08-18,1219,5,1
10364,2025-03-24,2768,2,3
10365,2025-02-08,1422,2,1
10366,2025-03-25,1949,5,3
10367,2025-04-17,2031,4,3
10368,2025-06-13,1836,1,4
10369,2025-08-28,2330,1,3
10370,2025-08-20,2135,4,3
10371,2025-06-14,1023,3,3
10372,2025-02-17,2717,5,4
10373,2025-06-09,2958,4,3
10374,2025-01-23,2651,3,3
10375,2025-01-20,2198,4,4
10376,2025-08-13,1849,2,2
10377,2025-07-15,2482,2,2
10378,2025-03-27,1008,3,3
10379,2025-06-15,2533,1,3
10380,2025-05-18,1252,3,4
10381,2025-08-10,2514,2,4
10382,2025-03-19,2196,1,3
10383,2025-08-23,2391,4,5
10384,2025-08-27,1727,4,5
10385,2025-06-20,1168,1,3
10386,2025-01-06,2915,5,5
10387,2025-08-19,2318,5,2
10388,2025-07-04,1034,2,1
10389,2025-05-03,2555,3,3
10390,2025-07-03,2987,3,3
10391,2025-07-16,2389,2,1
10392,2025-02-14,1073,3,3
10393,2025-03-02,1816,4,3
10394,2025-03-13,2524,3,4
10395,2025-06-25,1169,4,1
10396,2025-04-05,2179,3,3
10397,2025-02-24,1680,1,3
10398,2025-08-18,1428,1,4
10399,2025-03-08,1213,3,2
10400,2025-03-22,2453,2,4
10401,2025-08-09,2178,1,5
10402,2025-08-27,2012,3,3
10403,2025-06-16,1550,5,3
10404,2025-08-26,2197,2,3
10405,2025-08-11,1724,2,4
10406,2025-08-01,1738,2,5
10407,2025-06-13,2868,4,4
10408,2025-08-25,1065,3,3
10409,2025-07-21,2551,5,4
10410,2025-05-20,2570,1,4
10411,2025-04-01,1421,4,1
10412,2025-02-12,2898,4,2
10413,2025-01-09,2404,3,3
10414,2025-07-28,2992,3,5
10415,2025-07-10,1162,5,3
10416,2025-02-22,2268,4,3
10417,2025-08-12,1339,4,1
10418,2025-01-07,1346,1,2
10419,2025-07-18,1823,1,3
10420,2025-07-25,2129,3,5
10421,2025-01-24,1441,1,1
10422,2025-06-01,2968,2,3
10423,2025-01-13,2700,1,1
10424,2025-02-07,1257,1,2
10425,2025-02-20,2336,5,5
10426,2025-02-24,2710,1,5
10427,2025-05-26,2848,2,2
10428,2025-04-17,1980,2,1
10429,2025-04-16,2726,4,3
10430,2025-02-13,1450,2,3
10431,2025-07-20,2517,2,4
10432,2025-03-19,1136,3,3
10433,2025-02-17,1252,3,4
10434,2025-08-04,2031,4,4
10435,2025-04-05,2036,5,3
10436,2025-03-04,2119,4,1
10437,2025-04-26,2969,1,1
10438,2025-08-03,1405,3,3
10439,2025-03-18,1424,2,5
10440,2025-01-12,2330,4,5
10441,2025-02-04,1045,5,3
10442,2025-06-28,1126,4,3
10443,2025-04-19,2002,4,3
10444,2025-04-25,1331,3,3
10445,2025-08-12,1656,2,5
10446,2025-03-15,2536,1,2
10447,2025-04-25,1129,4,3
10448,2025-04-06,1607,1,3
10449,2025-05-07,1210,5,3
10450,2025-03-15,1394,2,3
10451,2025-07-01,2759,2,4
10452,2025-06-10,2064,2,2
10453,2025-03-26,2553,1,3
10454,2025-06-26,1350,3,4
10455,2025-06-13,2882,4,2
10456,2025-01-07,2276,1,1
10457,2025-04-23,1969,1,5
10458,2025-05-16,1661,5,5
10459,2025-07-16,1128,3,3
10460,2025-04-27,2507,3,3
10461,2025-08-01,2548,4,3
10462,2025-07-25,2606,4,3
10463,2025-04-26,1527,1,4
10464,2025-07-11,1546,5,4
10465,2025-02-03,1505,5,1
10466,2025-07-06,1688,2,1
10467,2025-05-26,1400,3,4
10468,2025-05-07,2275,3,4
10469,2025-07-27,1046,2,2
10470,2025-02-01,1494,1,4
10471,2025-08-03,1175,4,3
10472,2025-05-19,2984,3,3
10473,2025-08-03,2051,4,3
10474,2025-04-09,2428,2,1
10475,2025-08-20,1702,5,2
10476,2025-02-17,1587,4,3
10477,2025-07-13,1011,4,3
10478,2025-04-18,1634,1,3
10479,2025-01-10,1062,3,1
10480,2025-05-27,1640,5,3
10481,2025-08-28,2089,1,3
10482,2025-05-02,2224,5,4
10483,2025-02-10,2923,1,5
10484,2025-03-05,1795,2,4
10485,2025-02-06,2464,4,1
10486,2025-04-04,2190,5,4
10487,2025-07-10,1500,4,5
10488,2025-07-03,1517,5,1
10489,2025-08-03,1154,5,3
10490,2025-05-08,1049,5,5
10491,2025-03-27,2205,1,1
10492,2025-05-13,2522,2,3
10493,2025-05-07,2923,3,4
10494,2025-05-25,1089,4,3
10495,2025-02-23,2785,3,3
10496,2025-01-10,1705,2,4
10497,2025-07-10,2657,3,2
10498,2025-04-15,1717,2,3
10499,2025-03-13,2553,5,1
10500,2025-02-01,2407,1,4
10501,2025-04-07,1992,1,4
10502,2025-06-23,1836,3,3
10503,2025-03-22,1805,5,3
10504,2025-02-24,1157,5,3
10505,2025-06-10,1345,4,4
10506,2025-02-20,2353,5,5
10507,2025-05-26,1917,1,2
10508,2025-07-12,1920,4,3
10509,2025-07-14,1911,3,1
10510,2025-07-03,1803,3,4
10511,2025-08-17,2443,2,5
10512,2025-04-07,2641,3,3
10513,2025-01-23,2579,1,5
10514,2025-02-11,1771,4,2
10515,2025-08-25,1420,5,4
10516,2025-01-23,1438,2,3
10517,2025-05-05,1587,5,3
10518,2025-03-25,2733,3,5
10519,2025-06-15,2393,5,1
10520,2025-06-12,2227,5,4
10521,2025-03-03,1182,2,1
10522,2025-06-28,2623,2,1
10523,2025-01-17,2337,1,1
10524,2025-03-10,2677,1,5
10525,2025-01-22,2357,2,1
10526,2025-08-03,1131,1,4
10527,2025-03-20,2172,5,4
10528,2025-01-14,2491,4,2
10529,2025-06-24,2992,3,4
10530,2025-03-09,2841,5,4
10531,2025-03-10,2782,2,2
10532,2025-06-15,1921,1,2
10533,2025-03-08,2958,3,3
10534,2025-04-25,2181,4,4
10535,2025-03-05,2351,2,1
10536,2025-04-22,2026,1,3
10537,2025-03-22,1176,3,3
10538,2025-05-17,1814,3,2
10539,2025-07-09,1105,3,3
10540,2025-02-14,1782,4,3
10541,2025-07-13,2955,1,5
10542,2025-04-25,1585,2,2
10543,2025-04-25,1502,5,1
10544,2025-05-23,1771,3,1
10545,2025-01-24,1275,5,3
10546,2025-03-09,1795,4,4
10547,2025-07-06,2213,2,3
10548,2025-08-27,1732,2,4
10549,2025-02-18,1950,4,3
10550,2025-03-12,2561,3,4
10551,2025-08-22,1341,3,1
10552,2025-03-21,1302,4,3
10553,2025-01-25,1466,1,2
10554,2025-07-12,1842,1,3
10555,2025-03-14,2205,5,4
10556,2025-03-21,1362,1,3
10557,2025-03-13,1284,4,1
10558,2025-03-04,1252,5,5
10559,2025-01-05,1187,2,3
10560,2025-07-01,1901,5,5
10561,2025-01-04,2814,1,4
10562,2025-07-21,2980,1,3
10563,2025-02-13,1917,2,3
10564,2025-05-15,1073,1,3
10565,2025-08-11,2678,5,5
10566,2025-01-15,1988,1,4
10567,2025-02-26,2386,4,3
10568,2025-01-07,1654,4,3
10569,2025-02-09,1885,3,3
10570,2025-05-07,1008,3,5
10571,2025-08-03,2235,3,3
10572,2025-02-09,1880,3,2
10573,2025-06-06,2821,5,4
10574,2025-03-03,1414,1,3
10575,2025-03-06,2400,5,1
10576,2025-03-24,2279,2,1
10577,2025-01-03,2180,1,4
10578,2025-06-23,1912,5,4
10579,2025-04-02,1170,4,1
10580,2025-08-05,1216,2,2
10581,2025-08-09,2689,5,5
10582,2025-02-01,1605,3,4
10583,2025-04-17,1955,4,3
10584,2025-02-09,1436,5,4
10585,2025-08-01,2258,5,4
10586,2025-04-11,2434,4,5
10587,2025-02-17,1641,5,2
10588,2025-07-06,2085,2,1
10589,2025-02-18,2802,1,3
10590,2025-07-18,1952,1,5
10591,2025-05-17,1489,4,4
10592,2025-03-24,1151,1,3
10593,2025-08-24,2315,1,5
10594,2025-01-26,2343,4,4
10595,2025-08-28,1683,2,2
10596,2025-03-22,1157,2,5
10597,2025-02-08,1203,5,4
10598,2025-03-14,2920,1,4
10599,2025-07-05,1944,4,2
10600,2025-02-20,2839,3,5
10601,2025-02-05,1271,2,3
10602,2025-05-15,2317,1,3
10603,2025-06-05,2886,1,4
10604,2025-02-11,1688,2,3
10605,2025-08-26,1671,1,3
10606,2025-08-21,1803,5,3
10607,2025-08-10,2251,2,2
10608,2025-06-09,1156,5,3
10609,2025-05-22,1766,1,2
10610,2025-05-28,2852,5,3
10611,2025-07-21,2591,5,3
10612,2025-06-16,2081,1,2
10613,2025-08-16,1530,3,1
10614,2025-06-01,2546,3,5
10615,2025-02-24,1843,2,3
10616,2025-02-22,2663,1,1
10617,2025-05-17,2957,4,4
10618,2025-06-06,1416,1,2
10619,2025-06-23,2704,1,3
10620,2025-08-03,2582,4,2
10621,2025-05-21,1639,3,1
10622,2025-02-15,1302,1,2
10623,2025-08-13,2125,2,4
10624,2025-02-26,2179,4,5
10625,2025-02-15,1573,3,3
10626,2025-03-04,2299,2,5
10627,2025-06-04,2806,3,1
10628,2025-05-25,2348,5,4
10629,2025-03-28,2439,5,1
10630,2025-03-12,1649,1,3
10631,2025-07-19,2560,1,3
10632,2025-08-26,1991,4,3
10633,2025-01-03,1129,5,2
10634,2025-04-10,1627,3,1
10635,2025-04-03,2377,4,4
10636,2025-01-03,2245,4,1
10637,2025-01-18,2135,2,4
10638,2025-03-20,2324,2,3
10639,2025-07-17,2892,5,1
10640,2025-01-20,2198,4,3
10641,2025-08-20,2052,2,1
10642,2025-05-18,2212,2,1
10643,2025-05-26,1267,3,3
10644,2025-03-27,2617,2,5
10645,2025-03-05,2767,5,3
10646,2025-07-02,1138,4,2
10647,2025-02-27,2311,1,5
10648,2025-08-28,1376,5,4
10649,2025-07-07,2987,2,1
10650,2025-02-09,2980,2,3
10651,2025-02-28,1847,4,4
10652,2025-04-10,2013,3,2
10653,2025-02-03,2737,3,5
10654,2025-07-23,2162,2,1
10655,2025-02-16,1380,4,3
10656,2025-03-20,1567,5,5
10657,2025-04-06,1892,3,3
10658,2025-08-06,2480,5,3
10659,2025-02-12,1639,3,2
10660,2025-01-26,2111,3,3
10661,2025-04-08,2730,3,2
10662,2025-01-13,2469,2,4
10663,2025-06-04,2823,5,1
10664,2025-07-15,1412,1,3
10665,2025-07-16,1428,3,1
10666,2025-07-16,2447,2,4
10667,2025-03-07,1622,1,1
10668,2025-06-16,2679,4,4
10669,2025-01-12,1267,3,1
10670,2025-07-06,1466,3,1
10671,2025-03-27,2321,3,3
10672,2025-03-01,2140,2,1
10673,2025-05-11,1990,3,3
10674,2025-07-22,2621,2,4
10675,2025-07-26,1701,1,4
10676,2025-02-08,1249,3,2
10677,2025-01-16,2316,1,1
10678,2025-07-22,2338,3,4
10679,2025-08-28,1967,5,5
10680,2025-06-01,1311,5,5
10681,2025-05-04,2560,5,3
10682,2025-03-05,1138,4,3
10683,2025-01-28,1441,5,2
10684,2025-08-11,2325,2,3
10685,2025-05-28,1128,4,2
10686,2025-02-23,1697,3,3
10687,2025-04-22,2967,1,1
10688,2025-06-28,2132,2,1
10689,2025-08-13,2273,3,1
10690,2025-08-24,2385,5,3
10691,2025-01-17,1500,4,3
10692,2025-02-27,1762,2,2
10693,2025-06-12,2094,1,2
10694,2025-07-14,2958,2,3
10695,2025-01-03,1350,2,3
10696,2025-06-07,1751,4,4
10697,2025-06-08,1966,4,4
10698,2025-08-14,2220,4,4
10699,2025-03-18,1109,1,3
10700,2025-05-28,1447,4,3
10701,2025-07-12,1073,3,2
10702,2025-07-24,1554,3,3
10703,2025-04-04,1818,5,3
10704,2025-05-28,2707,2,4
10705,2025-07-01,1171,4,1
10706,2025-04-07,1760,3,4
10707,2025-03-02,2945,3,3
10708,2025-04-22,1768,1,3
10709,2025-05-19,2445,1,1
10710,2025-06-06,1287,5,5
10711,2025-02-18,2177,1,2
10712,2025-08-01,2798,5,4
10713,2025-07-02,1641,4,2
10714,2025-08-01,1370,4,1
10715,2025-03-05,1895,3,3
10716,2025-03-10,2251,5,3
10717,2025-05-07,1464,1,1
10718,2025-03-05,1158,4,3
10719,2025-02-22,1220,2,3
10720,2025-07-08,2870,4,4
10721,2025-07-14,1661,1,2
10722,2025-02-24,2802,2,5
10723,2025-03-27,2341,4,1
10724,2025-07-09,1224,4,2
10725,2025-03-12,2058,5,2
10726,2025-07-11,2137,4,2
10727,2025-03-20,2602,2,2
10728,2025-03-10,2882,3,4
10729,2025-03-15,2702,1,2
10730,2025-03-04,1397,2,3
10731,2025-06-10,2438,3,1
10732,2025-01-06,1161,2,3
10733,2025-01-10,1051,1,2
10734,2025-06-07,2193,5,2
10735,2025-08-07,1635,5,5
10736,2025-02-02,2766,3,3
10737,2025-01-04,1268,1,1
10738,2025-08-17,1428,3,4
10739,2025-04-23,2975,4,3
10740,2025-04-03,1428,4,2
10741,2025-05-27,1941,1,3
10742,2025-01-22,1943,2,2
10743,2025-08-26,2269,3,2
10744,2025-07-05,2896,4,4
10745,2025-06-09,1538,5,1
10746,2025-05-22,1731,4,2
10747,2025-07-21,2660,2,3
10748,2025-07-19,1888,3,3
10749,2025-02-16,2122,1,1
10750,2025-06-07,1640,4,1
10751,2025-04-11,2206,3,5
10752,2025-03-18,2345,4,4
10753,2025-08-16,1025,4,5
10754,2025-05-12,2099,4,3
10755,2025-02-18,2570,5,3
10756,2025-01-15,1298,5,2
10757,2025-03-25,1159,5,4
10758,2025-01-03,1598,5,3
10759,2025-02-19,2383,2,3
10760,2025-05-16,2463,4,5
10761,2025-01-09,1936,2,2
10762,2025-04-27,2261,5,3
10763,2025-03-14,2539,4,3
10764,2025-03-28,2405,4,1
10765,2025-06-01,2268,4,4
10766,2025-04-05,1508,4,2
10767,2025-03-09,1568,4,1
10768,2025-04-22,1591,3,5
10769,2025-05-05,2980,4,3
10770,2025-05-14,1046,2,3
10771,2025-02-01,2916,2,5
10772,2025-03-21,1986,3,4
10773,2025-07-07,1612,3,3
10774,2025-03-27,1123,2,3
10775,2025-01-24,1082,2,3
10776,2025-05-11,2984,2,2
10777,2025-06-16,1891,5,4
10778,2025-06-14,1171,5,3
10779,2025-03-19,2815,5,1
10780,2025-08-08,1809,1,5
10781,2025-05-01,1702,1,2
10782,2025-07-15,2939,1,2
10783,2025-03-12,2279,2,2
10784,2025-02-07,1106,1,4
10785,2025-07-26,1935,4,2
10786,2025-01-10,1992,2,2
10787,2025-06-06,1518,2,3
10788,2025-03-17,2441,4,5
10789,2025-04-12,2728,2,4
10790,2025-04-27,1925,4,5
10791,2025-07-19,1173,4,3
10792,2025-07-20,2660,3,1
10793,2025-03-27,2652,4,2
10794,2025-07-03,1060,1,1
10795,2025-04-07,2942,1,3
10796,2025-05-27,2509,1,1
10797,2025-05-20,2013,3,2
10798,2025-07-02,1101,2,1
10799,2025-06-20,1622,4,3
10800,2025-04-14,2147,5,2
10801,2025-08-18,2606,4,3
10802,2025-06-07,2967,2,1
10803,2025-02-03,1321,3,4
10804,2025-05-26,2119,4,3
10805,2025-03-06,1191,2,4
10806,2025-04-27,2063,2,3
10807,2025-08-19,1282,4,3
10808,2025-01-01,1672,5,3
10809,2025-07-13,2526,2,3
10810,2025-01-24,1338,2,1
10811,2025-02-14,2807,5,3
10812,2025-08-28,2036,1,3
10813,2025-04-17,1125,5,5
10814,2025-02-15,1032,5,3
10815,2025-07-23,2464,1,1
10816,2025-08-26,1215,2,1
10817,2025-05-11,1206,2,1
10818,2025-04-25,2765,3,3
10819,2025-04-11,1751,5,3
